,result,time(s)
p1,0.96%,1133.54%
p2,0.99%,9542.00%
p3,0.94%,9647.57%
p4,0.90%,4373.64%
p5,0.96%,1635.29%
p6,0.99%,7711.77%
p7,0.96%,6362.04%
p8,0.96%,8752.72%
p9,0.94%,3817.42%
p10,0.99%,9025.94%
p11,0.93%,7386.74%
p12,0.89%,5816.25%
p13,0.69%,3681.36%
p14,0.78%,3701.10%
p15,0.71%,6351.04%
p16,0.74%,7958.68%
p17,0.76%,3875.65%
p18,0.78%,6954.08%
p19,0.77%,5031.68%
p20,0.64%,7551.88%
p21,0.70%,7383.73%
p22,0.79%,3519.77%
p23,0.71%,3706.98%
p24,0.62%,5575.75%
p25,0.73%,7318.18%
p26,0.76%,13498.72%
p27,0.71%,12055.04%
p28,0.62%,17235.92%
p29,0.72%,10888.10%
p30,0.76%,13389.95%
p31,0.69%,9272.31%
p32,0.66%,6725.96%
p33,0.68%,14072.37%
p34,0.75%,22319.88%
p35,0.66%,15038.98%
p36,0.61%,8677.42%
p37,0.70%,8621.80%
p38,0.78%,12146.15%
p39,0.64%,13715.34%
p40,0.63%,42984.29%
p41,0.97%,39066.38%
p42,0.69%,29093.92%
p43,0.52%,19512.30%
p44,0.98%,21729.09%
p45,0.95%,5157.57%
p46,0.54%,3569.85%
p47,1.10%,8311.79%
p48,0.76%,14257.62%
p49,0.45%,5349.12%
p50,0.91%,8852.27%
p51,0.68%,7894.12%
p52,0.90%,9798.62%
p53,0.83%,6720.82%
p54,0.92%,7125.37%
p55,0.75%,7629.66%
p56,0.96%,16366.88%
p57,0.92%,9546.33%
p58,0.77%,12911.52%
p59,0.88%,20117.31%
p60,0.96%,21240.63%
p61,0.88%,9747.92%
p62,0.78%,12069.16%
p63,0.82%,21569.78%
p64,0.96%,22415.93%
p65,0.88%,23026.71%
p66,0.74%,21967.91%
p67,0.82%,21640.39%
p68,0.93%,22300.25%
p69,0.95%,28445.47%
p70,0.74%,19133.86%
p71,0.85%,18036.95%
