,result,time(s)
p0,9307.0,0.003008127212524414
p1,7993.0,0.004015922546386719
p2,9942.0,0.002989053726196289
p3,12005.0,0.002956867218017578
p4,9173.0,0.0029897689819335938
p5,7953.0,0.0029642581939697266
p6,9872.0,0.0029828548431396484
p7,11903.0,0.005007505416870117
p8,9040.0,0.003025531768798828
p9,7726.0,0.004015922546386719
p10,9726.0,0.0029993057250976562
p11,11726.0,0.003525972366333008
p12,12032.0,0.003988742828369141
p13,9180.0,0.003988981246948242
p14,13180.0,0.005984067916870117
p15,17180.0,0.0029740333557128906
p16,12032.0,0.003989219665527344
p17,9180.0,0.0029561519622802734
p18,13180.0,0.003988981246948242
p19,17180.0,0.003988981246948242
p20,12032.0,0.00399017333984375
p21,9180.0,0.004988908767700195
p22,13180.0,0.003008604049682617
p23,17180.0,0.003023862838745117
p24,17680.0,0.012966394424438477
p25,15109.0,0.012935876846313477
p26,19925.0,0.014933586120605469
p27,24741.0,0.010942697525024414
p28,18059.0,0.012952089309692383
p29,15763.0,0.01196599006652832
p30,20616.0,0.011991262435913086
p31,25036.0,0.011966466903686523
p32,17660.0,0.01496434211730957
p33,15089.0,0.010969161987304688
p34,19889.0,0.010970115661621094
p35,24689.0,0.013964653015136719
p36,17660.0,0.011968374252319336
p37,15089.0,0.011939764022827148
p38,19889.0,0.01099848747253418
p39,24689.0,0.0119781494140625
p40,7113.0,0.009972572326660156
p41,9957.0,0.005997419357299805
p42,12448.0,0.005990743637084961
p43,7295.0,0.005982160568237305
p44,9848.0,0.0059702396392822266
p45,12639.0,0.005983829498291016
p46,6460.0,0.005003690719604492
p47,9044.0,0.006003141403198242
p48,12867.0,0.005012989044189453
p49,10000.0,0.005983591079711914
p50,11650.0,0.0069811344146728516
p51,10364.0,0.005986928939819336
p52,12470.0,0.006976604461669922
p53,9719.0,0.005990028381347656
p54,12312.0,0.007980108261108398
p55,23882.0,0.018923521041870117
p56,32882.0,0.015957117080688477
p57,53882.0,0.015957355499267578
p58,39121.0,0.015957117080688477
p59,23882.0,0.014958381652832031
p60,32882.0,0.014966011047363281
p61,53882.0,0.016943931579589844
p62,39121.0,0.014958620071411133
p63,23882.0,0.016956329345703125
p64,32882.0,0.014986515045166016
p65,53882.0,0.019946575164794922
p66,39671.0,0.01594090461730957
p67,23882.0,0.01598834991455078
p68,32882.0,0.016968965530395508
p69,53882.0,0.015954971313476562
p70,39121.0,0.01991558074951172
