,result,time(s)

p1,8863.0,90.46671175956726

p2,7920.0,94.90119099617004

p3,9377.0,96.22714829444885

p4,10783.0,95.9555184841156

p5,8838.0,94.56309819221497

p6,7777.0,92.1907250881195

p7,9488.0,95.16432809829712

p8,11476.0,96.02456164360046

p9,8462.0,95.07544112205505

p10,7623.0,90.02689933776855

p11,9027.0,88.40020418167114

p12,10485.0,92.96031785011292

p13,8252.0,95.45571994781494

p14,7180.0,92.3142900466919

p15,9375.0,95.02855682373047

p16,12689.0,95.22018241882324

p17,9088.0,92.7677493095398

p18,7179.0,90.19417405128479

p19,10140.0,91.27506995201111

p20,11068.0,90.38910245895386

p21,8419.0,88.37827229499817

p22,7220.0,87.65724563598633

p23,9393.0,88.72608709335327

p24,10662.0,97.58857035636902

p25,12939.0,379.51279067993164

p26,11453.0,370.3736960887909

p27,14114.0,372.6960566043854

p28,15356.0,378.18873357772827

p29,13076.0,405.0862557888031

p30,11698.0,387.2141833305359

p31,14207.0,425.3943476676941

p32,16617.0,369.04292726516724

p33,11983.0,420.9963643550873

p34,11253.0,489.7138695716858

p35,13117.0,524.9637672901154

p36,15097.0,510.5941288471222

p37,12297.0,404.1386995315552

p38,11701.0,424.35756945610046

p39,12717.0,451.40600657463074

p40,15511.0,428.7151379585266

p41,6938.0,194.77751111984253

p42,6912.0,174.5994472503662

p43,6478.0,155.65446877479553

p44,7129.0,173.35903668403625

p45,9307.0,159.44634246826172

p46,6875.0,142.40996074676514

p47,7217.0,182.3626344203949

p48,6833.0,156.38733744621277

p49,5801.0,133.36368370056152

p50,8914.0,203.08100271224976

p51,7935.0,212.5516939163208

p52,9276.0,214.9887592792511

p53,10348.0,207.7885766029358

p54,9000.0,206.0668694972992

p55,9191.0,201.86222124099731

p56,22884.0,620.304144859314

p57,30103.0,618.6481478214264

p58,41258.0,630.783933877945

p59,34285.0,619.2172002792358

p60,23007.0,613.664792060852

p61,28985.0,621.9250247478485

p62,41863.0,625.677484035492

p63,32070.0,615.3421926498413

p64,22986.0,603.6041865348816

p65,29010.0,620.0071439743042

p66,39789.0,635.3314507007599

p67,32385.0,625.8542461395264

p68,22282.0,622.6763546466827

p69,31076.0,624.1544098854065

p70,40064.0,600.893807888031

p71,33074.0,611.3413271903992

